,2020,2015-2019,change,smoothed change
2020-05-01,9.971045090063916,11.351913596746078,0.12164191481143549,0.11186678149071497
2020-05-02,9.935596137931034,11.317577241379311,0.1221092707364505,0.11281244794438922
2020-05-03,9.93642372413793,11.30102551724138,0.12075026209095352,0.11370047892359818
2020-05-04,9.937251310344827,11.284473793103448,0.1193872667400745,0.1145274931316177
2020-05-05,9.949496312364424,11.269625596529284,0.11714047399865901,0.11529081527114102
2020-05-06,9.996061125802795,11.256153758972422,0.11194699896180715,0.11598824240103599
2020-05-07,10.044304420098223,11.242402342274273,0.106569564555691,0.11661770854661868
2020-05-08,10.085316666666667,11.232357027027026,0.10211929318133128,0.11717674163494479
2020-05-09,10.09517545201669,11.2351234121465,0.10146287836032053,0.11766188130644376
2020-05-10,10.054633031988873,11.240362169680111,0.10548851716625629,0.11806822577505639
2020-05-11,10.014090611961057,11.245600927213722,0.10951040528856748,0.11838933254783936
2020-05-12,9.97354819193324,11.250839684747334,0.11352854796657597,0.11861750239343086
2020-05-13,9.933005771905425,11.256078442280945,0.11754295042984897,0.11874414958561832
2020-05-14,9.891637778381314,11.256566539923954,0.12125622468464181,0.11876018108172239
2020-05-15,9.86070350353069,11.252764258555134,0.12370833717289531,0.1186563805316079
2020-05-16,9.829769228680066,11.248961977186312,0.12616210734683508,0.11842376219040013
2020-05-17,9.798834953829441,11.245159695817492,0.1286175368879816,0.1180538477342219
2020-05-18,9.7675092512599,11.2349685025198,0.13061534181700418,0.11753893506725709
2020-05-19,9.736011771058315,11.221973542116631,0.13241536931818865,0.11687237335729363
2020-05-20,9.704514290856732,11.208978581713463,0.13421957048888844,0.11604881877468658
2020-05-21,9.681836986881084,11.191096741430385,0.13486254202073822,0.11506448463121025
2020-05-22,9.65995801946678,11.172772577232331,0.13540189306711004,0.11391738481970443
2020-05-23,9.661319604069288,11.152886334891393,0.1337381809546282,0.11260751422259249
2020-05-24,9.681391091558977,11.131742535056365,0.130289704323461,0.11113698237972248
2020-05-25,9.701462579048666,11.110598735221336,0.12682810258511223,0.1095099850378443
2020-05-26,9.721534066538355,11.089454935386307,0.1233533006643035,0.10773263579669562
2020-05-27,9.817834879163945,11.067575114304375,0.11291906512793337,0.10581278252705642
2020-05-28,9.910729,11.045800999999999,0.10276049695264289,0.10375972169556168
2020-05-29,9.958978119800332,11.028252579034941,0.09695774118080447,0.1015834672834392
2020-05-30,9.999535524126456,11.01178003327787,0.09192378580868721,0.0992940079970143
2020-05-31,10.011159259259259,11.003381618655693,0.09017431129664444,0.09690088462529925
2020-06-01,9.975974074074074,11.008045541838134,0.09375610446391047,0.09441295733610616
2020-06-02,9.960625178147268,11.023489073634204,0.0964181021441819,0.09183850401621493
2020-06-03,9.95419661876585,11.03931842772612,0.09829608739565832,0.08918572297133415
2020-06-04,9.97084919695689,11.053561876584952,0.09795147407837845,0.08646325875019807
2020-06-05,9.987501775147928,11.067805325443786,0.09760774774492531,0.0836806311435848
2020-06-06,10.012743197540354,11.050353189853958,0.09389835550833803,0.08084850989630686
2020-06-07,10.03922282859339,11.028331667947732,0.08968798446904214,0.07797890232905676
2020-06-08,10.066422330097089,11.002196158716757,0.08505336708419609,0.0750851131519523
